Month,Hour,TempVals_mean,TempVals_median,TempVals_std,DewVals_mean,DewVals_median,DewVals_std,TempVals_cileft,TempVals_ciright,DewVals_cileft,DewVals_ciright
2,11,0.3204453441295547,0.6,5.5771526651103835,-5.267004048582995,-5.0,7.657015259854114,-10.610773879486796,11.251664567745905,-20.274753957897058,9.740745860731067
2,12,0.6131313131313131,1.0,5.557747017984928,-5.134141414141414,-5.0,7.707582497493624,-10.280052842119145,11.506315468381773,-20.241003109228917,9.972720280946088
2,13,0.880473372781065,1.0,5.3066474619440065,-5.254240631163707,-4.4,7.4585757712091105,-9.520555652629188,11.281502398191318,-19.873049142733564,9.364567880406149
2,14,1.4837623762376226,1.0,5.474309924526757,-5.190495049504948,-4.4,7.59600907852975,-9.24588507583482,12.213409828310066,-20.078672843423256,9.697682744413362
2,15,2.1768796992481207,2.0,5.366697480400845,-5.276315789473674,-5.0,7.452327026827152,-8.341847362337536,12.695606760833776,-19.88287676205489,9.330245183107545
2,16,2.7763485477178405,2.1,5.396851776026382,-5.2485477178423166,-5.0,7.56334359167029,-7.801480933293868,13.35417802872955,-20.072701157516086,9.575605721831451
2,17,3.4145418326693244,2.8,5.459782892275249,-4.93545816733067,-4.4,7.644317269463028,-7.286632636190164,14.115716301528813,-19.918320015478205,10.047403680816863
2,18,3.700209643605871,3.0,5.628049122986325,-5.33375262054507,-5.6,7.733715146285443,-7.330766637447327,14.73118592465907,-20.49183430726454,9.824329066174398
2,19,4.019709543568462,3.9,5.576730455794178,-5.070124481327799,-5.0,7.817325737696607,-6.910682149788126,14.95010123692505,-20.39208292721315,10.251833964557552
2,20,3.8713717693836958,3.0,5.552259464964969,-4.9425447316103375,-5.0,7.875964437591007,-7.011056781947643,14.753800320715035,-20.37943502928871,10.494345566068034
2,21,3.626199261992615,3.15,5.230047548314782,-4.65387453874539,-4.4,7.788297166940311,-6.624693932704358,13.877092456689589,-19.9189369859484,10.61118790845762
2,22,3.0341414141414105,2.8,5.266987748179766,-4.941212121212127,-4.0,7.684130983600691,-7.289154572290929,13.357437400573751,-20.00210884906948,10.119684606645228
2,23,2.8618644067796613,2.2,5.282445703462133,-4.934110169491525,-4.0,7.777284800418321,-7.491729172006119,13.215457985565441,-20.177588378311434,10.309368039328383
3,0,6.061569416498993,6.0,5.315330076513458,-3.029175050301809,-3.0,7.728209084175398,-4.356477533467385,16.479616366465372,-18.176464855285587,12.11811475468197
3,1,5.721386138613859,5.0,5.328615664523416,-2.8566336633663343,-2.2,7.729399178536849,-4.722700563852037,16.165472841079755,-18.006256053298557,12.29298872656589
3,2,5.412695312499997,5.3,5.306711675527469,-2.662304687499997,-2.0,7.763072111701964,-4.988459571533841,15.813850196533835,-17.877926026435848,12.553316651435853
3,3,4.925806451612899,4.4,5.133389203685152,-2.582258064516128,-2.2,7.548406843793143,-5.135636387609998,14.987249290835795,-17.377135478350688,12.21261934931843
3,4,4.624950495049502,4.0,5.197592853977598,-2.8952475247524765,-2.8,7.58071234063051,-5.562331498746591,14.812232488845595,-17.753443712388275,11.96294866288332
3,5,4.340078585461689,4.0,5.197372594261058,-2.877013752455796,-2.8,7.64025820214734,-5.846771699289984,14.52692887021336,-17.85191982866458,12.09789232375299
3,6,4.158754863813228,3.9,5.1491110160473905,-2.7208171206225678,-2.1,7.5495875023585715,-5.933502727639657,14.251012455266114,-17.51800862524537,12.076374384000232
3,7,3.739694656488546,3.3,5.006297057869707,-2.845801526717558,-2.1,7.352659898167728,-6.072647576936081,13.552036889913172,-17.257014927126303,11.565411873691188
3,8,3.6493282149712054,3.3,5.083329137952813,-2.7869481765834943,-2.2,7.42967688079895,-6.313996895416308,13.61265332535872,-17.349114862949435,11.775218509782448
3,9,3.3066895368782143,3.0,5.018334753236701,-2.6490566037735888,-2.2,7.163833490308051,-6.5292465794657195,13.142625653222147,-16.69017024477737,11.392057037230192
3,10,3.2181474480151215,3.0,5.335821942679073,-2.8691871455576576,-3.0,7.517175755933343,-7.2400635596358605,13.676358455666104,-17.60285162718701,11.864477336071694
3,11,3.0906614785992192,3.0,5.293218136073467,-3.1280155642023346,-2.8,7.293372859814033,-7.284046068104775,13.465369025303215,-17.42302636943784,11.16699524103317
3,12,3.727137546468402,3.3,5.266114541897359,-2.73066914498141,-2.5,7.369546269232151,-6.594446955650421,14.048722048587225,-17.174979832676424,11.713641542713606
3,13,4.513703703703709,4.0,5.465224618867931,-2.639259259259261,-2.2,7.594528313444978,-6.198136549277437,15.225543956684856,-17.524534753611416,12.246016235092895
3,14,5.2768807339449575,5.0,5.525134530110824,-2.593394495412843,-2.2,7.722612449929612,-5.5523829450722575,16.106144412962173,-17.72971489727488,12.542925906449195
3,15,6.346678635547571,6.0,5.484652615107872,-2.5684021543985645,-2.2,7.771343767527522,-4.403240490063858,17.096597761159,-17.800235938752508,12.66343162995538
3,16,7.059546313799622,6.7,5.861135201851691,-2.665406427221175,-2.8,8.084473162875025,-4.428278681829692,18.547371309428936,-18.510973826456222,13.180160972013873
3,17,7.447338403041821,7.2,5.75557225217677,-2.8057034220532335,-2.2,7.870359450826076,-3.8335832112246493,18.72826001730829,-18.23160794567234,12.620201101565875
3,18,7.779959919839674,7.2,5.94352936931014,-3.1298597194388784,-3.3,7.902755491459411,-3.8693576440081996,19.429277483687546,-18.619260482699325,12.359541043821567
3,19,7.7419678714859375,7.2,5.941717748411026,-3.474297188755018,-3.3,7.669636362935997,-3.9037989153996735,19.38773465837155,-18.50678446010957,11.558190082599538
3,20,7.546428571428569,7.1,5.8212631374782005,-3.251984126984128,-3.3,7.750233500730858,-3.863247178028704,18.956104320885842,-18.44244178841661,11.938473534448354
3,21,7.186690647482016,7.0,5.5614894483680155,-2.7462230215827312,-3.0,7.7023059690109585,-3.713828671319294,18.087209966283325,-17.84274272084421,12.350296677678747
3,22,6.700566037735847,6.1,5.469169445518867,-2.6445283018867882,-2.2,7.65307666760852,-4.019006075481133,17.420138150952827,-17.644558570399486,12.35550196662591
3,23,6.319880715705762,6.0,5.3743416520457865,-2.966799204771369,-2.2,7.5655667265489015,-4.213828922303979,16.853590353715504,-17.795309988807215,11.861711579264478
4,0,11.60432989690722,11.0,4.904210728154915,2.9437113402061894,3.0,6.562788493397094,1.9920768697235864,21.216582924090854,-9.919354106852115,15.806776787264493
4,1,11.431275720164614,11.0,4.746046560750465,3.261316872427981,3.0,6.759456568958212,2.1290244610937012,20.733526979235528,-9.987218002730115,16.509851747586076
4,2,10.849799999999998,11.0,4.799584563685481,3.183399999999996,3.0,6.604172516618454,1.4426142551764567,20.256985744823538,-9.760778132572174,16.127578132572165
4,3,10.124675324675314,9.4,4.637943922215614,3.106122448979592,3.3,6.295783948917464,1.0343052371327115,19.21504541221792,-9.233614090898637,15.445858988857822
4,4,10.178656126482212,10.0,4.556403281503413,3.322529644268777,3.3,6.568207730891978,1.2481056947355214,19.1092065582289,-9.5511575082795,16.196216796817055
4,5,10.071132075471695,9.4,4.386576947588707,3.5292452830188723,3.9,6.621631604099021,1.4734412581978305,18.66882289274556,-9.44915266101521,16.507643227052956
4,6,9.736381709741545,9.0,4.323668810338909,3.240954274353876,3.3,6.6223448173872,1.2619908414772834,18.21077257800581,-9.738841567725036,16.220750116432786
